xx,yy,time
209.367,214.167,1
261.167,214.233,1
349.885,214.115,1
635.962,214.423,1
189.633,215.233,1
199.088,215.618,1
294.643,215.5,1
619.633,214.967,1
170.75,216.167,1
180,215.786,1
606,215.5,1
252.167,217.367,1
243.071,218.714,1
360.611,217.278,1
224.429,220.643,1
234,219.786,1
601.367,219.9,1
610.7,220.7,1
628,219.786,1
215.1,221.567,1
268.1,221.1,1
591.214,222,1
205.367,222.967,1
185.633,224.033,1
258.5,224.5,1
619.611,224.778,1
636.214,224,1
165.929,224.857,1
176.038,224.654,1
249.115,226.269,1
430.6,226.2,1
239.25,227.688,1
229.917,228.25,1
220.5,229,1
628.188,229.312,1
181.423,229.654,1
210.8,230.4,1
422.5,229.7,1
597,230,1
611.25,230.125,1
372.9,231.3,1
429.1,233.1,1
588.214,233,1
636.269,233.577,1
187.214,234,1
255,233.786,1
533.682,233.773,1
620.188,234.625,1
121.4,235.45,1
176.5,234.667,1
245.286,235.071,1
604,236.214,1
235.5,236.5,1
612.033,239.633,1
628.714,238.857,1
518,240,1
595.633,240.033,1
527.654,242.038,1
537,243,1
586.5,242.667,1
186,244,1
620.367,244.033,1
242.583,245.333,1
603.875,245.562,1
76.071,247.5,1
628.75,248.125,1
65.367,248.967,1
512.833,248.75,1
595.5,249.875,1
612.367,248.967,1
522.1,249.9,1
531.633,250.5,1
541.083,251.667,1
586.423,251.962,1
620.1,253.433,1
636.7,252.9,1
603.233,254.7,1
90.929,255.5,1
468.318,254.682,1
566.8,254.8,1
81.115,256.269,1
493.633,256.033,1
576.885,256.115,1
506.038,256.654,1
516.033,257.633,1
628.938,257.75,1
70.318,258.318,1
477.5,258.071,1
525.5,258.125,1
612.038,258.346,1
534.967,259.367,1
595,259.214,1
545.083,260.417,1
571.3,260,1
461.633,262.033,1
485.917,262.25,1
554.885,262.115,1
636.731,262.346,1
98.115,262.885,1
492.611,262.833,1
603.591,263.591,1
620.318,262.682,1
87.731,264.269,1
499.885,263.808,1
565.346,264.038,1
470.583,265.333,1
510.269,265.115,1
587.167,264.75,1
78.5,266,1
519.633,266.033,1
574.962,265.654,1
529.367,266.967,1
628.115,267.115,1
68.5,268.045,1
454.885,268.115,1
539,268,1
612.633,268.033,1
479.367,268.967,1
549,269,1
595.654,268.577,1
398.833,269.75,1
485.786,269.357,1
491.786,270,1
105.115,271.115,1
416.115,271.115,1
559,271,1
94.115,271.885,1
463.167,272.233,1
504,271.786,1
620.5,272.5,1
636.25,271.917,1
568.5,273.3,1
604.577,273.038,1
84.962,273.654,1
513.633,274.033,1
524.071,274.5,1
42.192,275.423,1
75.714,275.286,1
249.7,274.5,1
448.367,275.233,1
472.269,274.885,1
533.167,275.5,1
6.25,275.917,1
406.962,275.654,1
542.667,276.5,1
64.833,277.633,1
484.577,277.038,1
628.885,277.115,1
52.962,278.346,1
118.278,277.389,1
267.885,278.115,1
424,277.786,1
509.692,279.231,1
552.167,278,1
596,277.786,1
612.731,277.885,1
258.318,278.682,1
440.125,279.5,1
456.833,279.633,1
494.233,279.167,1
100,279.786,1
139.5,279.5,1
241.083,280.417,1
398,279.786,1
604.352,280.204,1
415.115,281.115,1
561.7,280.5,1
90.115,281.885,1
503.1,282.1,1
518.346,282.038,1
109.885,283.115,1
465.5,282.643,1
476.577,283.577,1
527.885,283.115,1
250.423,284.192,1
264.333,283.333,1
388.885,283.885,1
431.382,283.853,1
448.188,284.375,1
537.115,284.269,1
8.071,285.5,1
80.152,285.37,1
131.367,284.967,1
148,284.3,1
406.233,285.167,1
546.833,285.633,1
619.5,284.875,1
608.8,286.4,1
337.864,286.955,1
422.625,287.125,1
510.857,287.286,1
599.5,286.5,1
259.885,288.115,1
269.786,288,1
50.318,288.682,1
396.967,289.367,1
439.115,288.885,1
456.038,289.346,1
496.5,288.667,1
503.5,288,1
16.833,290.25,1
117.269,290.346,1
140.5,289.7,1
241.714,290.143,1
521.917,290.25,1
0.944,291.278,1
253,290.167,1
414,290.786,1
531.5,292,1
35.5,292.1,1
107,293,1
430.1,293.1,1
541,293,1
132.333,294.5,1
149.115,294.115,1
388,293.786,1
405.167,294.233,1
447.033,293.833,1
504.115,294.115,1
591.786,294,1
8.875,295.5,1
233.115,294.885,1
463.9,294.9,1
222.6,296.2,1
255.367,296.433,1
514,295.786,1
601.833,296.25,1
611,295.5,1
44.167,297,1
265.115,296.885,1
421.567,296.767,1
123.423,298.423,1
438,298.214,1
519.024,300.024,1
396.115,298.885,1
454.885,299.115,1
526.188,299.312,1
17.75,299.938,1
114.038,300.346,1
140.5,300.071,1
412.5,300.071,1
1.3,301,1
535.367,300.967,1
35.885,301.885,1
239.083,302.417,1
429.125,302.375,1
545.083,301.667,1
228.967,303.633,1
446.1,302.9,1
131,304.214,1
182,304,1
249.786,304,1
386,303.786,1
403.9,303.9,1
9.5,305,1
259.786,305,1
462.643,305.5,1
512.033,305.633,1
612,305,1
621.633,304.833,1
27.367,306.167,1
218.833,306.25,1
419.9,305.9,1
44.269,307.115,1
148.115,306.885,1
436.875,307.5,1
521.367,306.967,1
121.5,308.125,1
394.885,308.115,1
453.75,308.125,1
18.5,308.929,1
530.5,308.929,1
540.033,309.633,1
631.962,309.423,1
1.885,310.115,1
138.409,309.864,1
235.167,310.833,1
411.5,310,1
617.722,310.056,1
244.033,311.633,1
426.929,311.5,1
36,311.5,1
445.25,312.125,1
129.083,313.25,1
225.633,312.967,1
254.5,312.929,1
506.033,313.633,1
11,313.5,1
402.857,313.786,1
515.5,314.125,1
558.955,314.5,1
27.143,315.286,1
264.038,314.654,1
418.875,315.5,1
462.318,314.955,1
475.9,314.9,1
613.786,315,1
623.786,315,1
524.5,316.5,1
43.286,317.071,1
146.25,316.833,1
435.286,316.857,1
452.875,317.75,1
486,317.5,1
534.143,317.571,1
18.571,318.357,1
110.038,318.654,1
137.115,319.115,1
410.033,319.633,1
498.214,319,1
119.633,320.033,1
239.367,320.167,1
248.654,320.038,1
582.885,320.115,1
34.885,321.115,1
230.167,321.367,1
426.857,321.286,1
443.912,321.382,1
220.9,322.1,1
257.786,322,1
469.633,322.033,1
13,322.7,1
128.633,322.967,1
522.278,322.944,1
553.773,323.227,1
563,323.214,1
619,323,1
629.5,322.5,1
460.5,324.071,1
479.1,324.1,1
515.7,323.4,1
25.5,324.5,1
417.833,325.167,1
490.929,325.5,1
528.885,325.115,1
609.5,324.5,1
208.9,326.1,1
451.441,326.735,1
572.115,325.885,1
599.885,325.885,1
42.115,326.885,1
274.5,327.5,1
433.237,327.868,1
538,327.214,1
5.625,328.625,1
112.5,328.071,1
139.633,328.033,1
244.643,328.571,1
264.885,328.115,1
426.1,329.2,1
473.214,327.643,1
499.786,328,1
590.115,327.885,1
121.9,329.1,1
235.618,328.912,1
14.971,330.853,1
33,330.214,1
217.038,330.577,1
253.812,330.375,1
442.033,330.633,1
485.5,331,1
521.214,330.143,1
566,329.5,1
580.885,329.885,1
624.5,330.071,1
636,329.786,1
226.5,330.929,1
467.857,331.071,1
131,332,1
549.885,332.115,1
559.633,332.033,1
615.346,332.038,1
458.875,333.5,1
477.115,333.115,1
606.033,333.633,1
149.167,334.233,1
420.786,334,1
435.5,333.5,1
531.1,334.1,1
596.5,334.5,1
24.667,334.333,1
103,335,1
194.654,335.731,1
205.367,334.967,1
280.038,335.346,1
492.654,334.731,1
569.115,335.115,1
40.038,336.346,1
260.7,336.7,1
270,335.786,1
449.786,336,1
541.5,336,1
32.026,337.289,1
140.033,337.633,1
166.912,337.618,1
242.611,337.556,1
429.75,337.45,1
501.633,336.967,1
587.286,336.857,1
630.857,337.286,1
8,337.786,1
122.357,338.571,1
232.9,337.9,1
251.367,338.033,1
516.038,337.654,1
213.938,339.25,1
223.167,339.167,1
438.875,339.5,1
578,338.786,1
621.115,339.115,1
17.324,340.676,1
183.286,340.286,1
413.786,340,1
464.885,340.115,1
131.25,341.062,1
157.367,340.967,1
483.214,341,1
524.808,340.962,1
561.633,341.033,1
611.633,340.833,1
207.5,341,1
509.633,342.033,1
534.808,342.577,1
602.5,342.071,1
26.885,343.115,1
147.618,343.324,1
201,343,1
456.167,342.767,1
474.25,342.5,1
1.881,344.881,1
98,343.786,1
174.286,344.143,1
266.192,344.423,1
275.633,344.033,1
388,344,1
492,344,1
570.367,344.033,1
593.1,344.1,1
636.333,344.5,1
123.773,345.045,1
191.433,345.1,1
256.885,345.115,1
446.567,345.1,1
544.417,345.083,1
116.5,346.071,1
229,346.214,1
238,345.786,1
247.136,345.409,1
397.786,346,1
501.167,346.033,1
584,345.786,1
627.433,346.233,1
10.5,347,1
138.786,347,1
165,347,1
209.111,347.889,1
218.875,347.5,1
438.033,348.367,1
516.269,348.346,1
576.786,348,1
617.786,348,1
20.033,349.633,1
154.033,349.633,1
183.562,349.75,1
528.875,349.5,1
127.885,349.885,1
290,350,1
392,349.5,1
412.25,349.917,1
485.9,350.5,1
562.5,350.071,1
608.038,349.654,1
421.875,351.5,1
476.5,351,1
538.033,351.633,1
599.115,351.115,1
28.885,352.115,1
197.786,352,1
280,352,1
453.5,351.833,1
508.389,352.167,1
91.808,352.5,1
101.286,352.857,1
110.115,352.885,1
145.5,353,1
173,353.214,1
252.967,353.367,1
262.115,352.885,1
386.66,353.94,1
495,353,1
571,353.214,1
4,353.786,1
38,353.786,1
224.929,354.5,1
234.1,354.1,1
243.382,353.912,1
376.885,354.115,1
431.1,353.9,1
444.875,354.125,1
501.3,352.9,1
547.5,354.071,1
580.5,354.333,1
590,354,1
633.286,354.143,1
215.125,355.688,1
396.033,355.367,1
521.938,355.75,1
623.885,355.115,1
13.278,356,1
136,355.786,1
161.5,355.5,1
189.833,356.233,1
205.658,356.658,1
405.5,356.5,1
556.214,357,1
614.967,357.367,1
47.214,358,1
531.286,358.286,1
22.115,358.885,1
66.808,359.577,1
152.115,358.885,1
180.214,359,1
415.286,358.857,1
127.773,359.773,1
276.5,360.5,1
286,359.786,1
424.5,360.5,1
478.5,360.071,1
502.038,359.654,1
513.75,359.938,1
540.1,360,1
565.227,360.318,1
629.722,359.833,1
31.929,361.214,1
56.033,361.633,1
78.417,360.833,1
168.808,361.577,1
197.618,360.912,1
258.071,361.5,1
267.115,361.115,1
451.929,360.857,1
597,361,1
89.633,362.033,1
99.25,361.938,1
108.714,362.286,1
143.382,362.088,1
230.071,362.5,1
239.25,362.125,1
248.633,362.033,1
370.667,362.5,1
461.147,362.029,1
575,362.214,1
220.633,362.967,1
380.633,362.967,1
390.038,362.654,1
433.773,362.682,1
470.1,363.633,1
585.5,363.5,1
40.577,364.192,1
117.786,364,1
211.25,364.125,1
399.5,364,1
549.5,363.5,1
624.318,364.318,1
134.611,365.444,1
159.375,365,1
187.676,365.265,1
408.967,365.633,1
443.214,364.5,1
524.1,365.1,1
558,366,1
633.885,365.731,1
176,367.214,1
418.033,367.633,1
507.367,366.967,1
534.033,367.367,1
615.429,366.857,1
25.269,367.731,1
62.409,368.227,1
72,367.786,1
150.786,368,1
202.967,368.633,1
448.179,369.536,1
55.625,368.625,1
83.5,368.875,1
125.75,368.875,1
262.967,369.367,1
271.9,368.9,1
281.583,368.667,1
428,369.5,1
477.857,368.643,1
516.5,368.667,1
567.75,369.167,1
2.5,370.071,1
94.625,370.312,1
104.033,370.367,1
235.214,370.571,1
244.5,370.071,1
253.833,369.833,1
455.633,370.033,1
487.5,369.5,1
594.2,370.2,1
33.9,370.9,1
141.8,371.35,1
167,371,1
216.812,371.312,1
225.75,370.875,1
374.967,371.367,1
393.5,371,1
464.7,371.233,1
542.591,371.045,1
113.1,372.1,1
384,371.786,1
402.962,372.808,1
551.5,372.929,1
627.833,373.25,1
132.5,374,1
157.885,374.115,1
366.038,373.654,1
412.071,374.5,1
441.286,374.286,1
501.833,373.833,1
527.5,373.864,1
18.5,374.5,1
188.559,375.265,1
472.19,376.224,1
560.875,375.75,1
636.955,374.5,1
9.286,376.571,1
76.885,375.885,1
174.033,376.633,1
198.071,376.5,1
208.786,375.929,1
421.5,376.233,1
482.615,376.808,1
492.5,376.5,1
511.633,376.033,1
26.714,377.071,1
53.833,376.389,1
88.206,377.206,1
121.367,376.967,1
148.967,377.367,1
258.875,377.5,1
268.071,377.5,1
277.115,377.115,1
535.75,377.062,1
64.955,378.045,1
214.9,377.7,1
240.071,378.5,1
249.633,378.033,1
357.5,378.071,1
430.967,378.367,1
450,377.786,1
466.1,377.7,1
0.929,379.214,1
221.688,378.812,1
230.9,378.9,1
459.9,378.9,1
35.312,380.312,1
108.286,379.929,1
139.125,380.375,1
165.167,380.233,1
378.1,379.9,1
387.5,380.125,1
397,380,1
519.786,380,1
544.9,379.9,1
194.974,382.184,1
405.938,381.75,1
623.167,381.25,1
554.038,382.346,1
16.286,382.857,1
129.367,382.967,1
366.786,383,1
415.265,383.441,1
505.583,382.833,1
529,383.214,1
633,382.7,1
155.633,384.033,1
189.143,384.786,1
204,383.5,1
213.227,383.773,1
467.633,384.033,1
52.1,385.1,1
76.885,385.115,1
272.833,385.633,1
282.577,385.038,1
349.115,385.115,1
424.767,385.433,1
477.214,385,1
7.654,385.962,1
25,386.214,1
42.633,386.033,1
67.167,385.167,1
119.731,386.269,1
146.5,386.333,1
220.1,385.7,1
245.333,386.222,1
254.115,385.885,1
461.5,385.786,1
486.654,385.808,1
513.625,386.625,1
